"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"100005","Prato","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2024","2024",524,"e","dato stimato"
"100005","Prato","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",1454,,
"100005","Prato","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",1373,,
"100005","Prato","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2021","2021",1284,,
"100005","Prato","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2022","2022",1246,,
"100005","Prato","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2023","2023",1108,,
"100005","Prato","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2024","2024",1154,"e","dato stimato"
"073027","Taranto","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2019","2019",639,,
"073027","Taranto","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",675,,
"073027","Taranto","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2021","2021",602,,
"073027","Taranto","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2022","2022",599,,
"073027","Taranto","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2023","2023",584,,
"073027","Taranto","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2024","2024",624,"e","dato stimato"
"073027","Taranto","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2019","2019",613,,
"073027","Taranto","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",589,,
"073027","Taranto","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2021","2021",550,,
"073027","Taranto","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2022","2022",600,,
"073027","Taranto","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2023","2023",565,,
"073027","Taranto","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2024","2024",531,"e","dato stimato"
"073027","Taranto","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",1252,,
"073027","Taranto","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",1264,,
"073027","Taranto","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2021","2021",1152,,
"073027","Taranto","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2022","2022",1199,,
"073027","Taranto","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2023","2023",1149,,
"073027","Taranto","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2024","2024",1155,"e","dato stimato"
"032006","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2019","2019",654,,
"032006","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",640,,
"032006","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2021","2021",569,,
"032006","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2022","2022",619,,
"032006","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2023","2023",620,,
"032006","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2024","2024",623,"e","dato stimato"
"036023","Modena","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2019","2019",1512,,
"036023","Modena","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",1454,,
"036023","Modena","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2021","2021",1447,,
"036023","Modena","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2022","2022",1291,,
"036023","Modena","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2023","2023",1382,,
"036023","Modena","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2024","2024",1337,"e","dato stimato"
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2019","2019",652,,
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",654,,
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2021","2021",640,,
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2022","2022",618,,
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2023","2023",601,,
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2024","2024",673,"e","dato stimato"
"036023","Modena","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2019","2019",734,,
"036023","Modena","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",705,,
"036023","Modena","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2021","2021",736,,
"036023","Modena","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2022","2022",619,,
"036023","Modena","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2023","2023",657,,
"036023","Modena","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2024","2024",636,"e","dato stimato"
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2019","2019",1306,,
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",1294,,
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2021","2021",1209,,
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2022","2022",1237,,
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2023","2023",1221,,
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2024","2024",1296,"e","dato stimato"
"036023","Modena","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2019","2019",778,,
"036023","Modena","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",749,,
"036023","Modena","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2021","2021",711,,
"036023","Modena","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2022","2022",672,,
"036023","Modena","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2023","2023",725,,
"036023","Modena","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2024","2024",701,"e","dato stimato"
"100005","Prato","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2019","2019",850,,
"100005","Prato","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",760,,
"100005","Prato","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2021","2021",730,,
"100005","Prato","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2022","2022",674,,
"100005","Prato","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2023","2023",675,,
"100005","Prato","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2024","2024",586,"e","dato stimato"
"100005","Prato","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2019","2019",748,,
"100005","Prato","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",723,,
"100005","Prato","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2021","2021",671,,
"100005","Prato","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2022","2022",613,,
"100005","Prato","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2023","2023",603,,
"100005","Prato","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2024","2024",556,"e","dato stimato"
"100005","Prato","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2019","2019",1598,,
"100005","Prato","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",1483,,
"100005","Prato","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2021","2021",1401,,
"100005","Prato","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2022","2022",1287,,
"100005","Prato","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2023","2023",1278,,
"100005","Prato","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2024","2024",1142,"e","dato stimato"
"073027","Taranto","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2019","2019",668,,
"073027","Taranto","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",640,,
"073027","Taranto","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2021","2021",686,,
"073027","Taranto","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2022","2022",599,,
"073027","Taranto","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2023","2023",595,,
"073027","Taranto","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2024","2024",582,"e","dato stimato"
"073027","Taranto","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2019","2019",664,,
"073027","Taranto","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",613,,
"073027","Taranto","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2021","2021",597,,
"073027","Taranto","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2022","2022",558,,
"073027","Taranto","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2023","2023",600,,
"073027","Taranto","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2024","2024",569,"e","dato stimato"
"073027","Taranto","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2019","2019",1332,,
"073027","Taranto","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",1253,,
"073027","Taranto","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2021","2021",1283,,
"073027","Taranto","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2022","2022",1157,,
"073027","Taranto","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2023","2023",1195,,
"073027","Taranto","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2024","2024",1151,"e","dato stimato"
"073027","Taranto","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2019","2019",703,,
"073027","Taranto","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",674,,
"073027","Taranto","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2021","2021",660,,
"073027","Taranto","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2022","2022",692,,
"073027","Taranto","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2023","2023",597,,
"073027","Taranto","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2024","2024",591,"e","dato stimato"
"100005","Prato","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2019","2019",1667,,
"100005","Prato","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",1616,,
"100005","Prato","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2021","2021",1510,,
"100005","Prato","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2022","2022",1409,,
"100005","Prato","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2023","2023",1297,,
"100005","Prato","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2024","2024",1290,"e","dato stimato"
"036023","Modena","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2019","2019",1624,,
"036023","Modena","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",1512,,
"036023","Modena","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2021","2021",1436,,
"036023","Modena","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2022","2022",1419,,
"036023","Modena","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2023","2023",1277,,
"036023","Modena","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2024","2024",1396,"e","dato stimato"
"073027","Taranto","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2019","2019",1403,,
"073027","Taranto","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",1336,,
"073027","Taranto","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2021","2021",1285,,
"073027","Taranto","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2022","2022",1279,,
"073027","Taranto","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2023","2023",1164,,
"073027","Taranto","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2024","2024",1188,"e","dato stimato"
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2019","2019",683,,
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",658,,
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2021","2021",667,,
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2022","2022",638,,
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2023","2023",611,,
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2024","2024",606,"e","dato stimato"
"032006","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2019","2019",649,,
"032006","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",657,,
"032006","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2021","2021",646,,
"032006","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2022","2022",582,,
"032006","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2023","2023",614,,
"032006","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2024","2024",631,"e","dato stimato"
"100005","Prato","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2019","2019",807,,
"100005","Prato","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",761,,
"100005","Prato","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2021","2021",741,,
"100005","Prato","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2022","2022",664,,
"100005","Prato","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2023","2023",627,,
"100005","Prato","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2024","2024",609,"e","dato stimato"
"036023","Modena","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2019","2019",793,,
"036023","Modena","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",733,,
"036023","Modena","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2021","2021",691,,
"036023","Modena","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2022","2022",723,,
"036023","Modena","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2023","2023",610,,
"036023","Modena","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2024","2024",667,"e","dato stimato"
"036023","Modena","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2019","2019",831,,
"036023","Modena","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",779,,
"036023","Modena","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2021","2021",745,,
"036023","Modena","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2022","2022",696,,
"036023","Modena","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2023","2023",667,,
"036023","Modena","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2024","2024",729,"e","dato stimato"
"100005","Prato","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2019","2019",860,,
"100005","Prato","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",855,,
"100005","Prato","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2021","2021",769,,
"100005","Prato","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2022","2022",745,,
"100005","Prato","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2023","2023",670,,
"100005","Prato","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2024","2024",681,"e","dato stimato"
"073027","Taranto","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2019","2019",700,,
"073027","Taranto","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",662,,
"073027","Taranto","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2021","2021",625,,
"073027","Taranto","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2022","2022",587,,
"073027","Taranto","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2023","2023",567,,
